term,term_translation,lang_code
https://www.iana.org/assignments/media-types/application/cdmi-queue,application/cdmi-queue,en
https://www.iana.org/assignments/media-types/application/cdni,application/cdni,en
https://www.iana.org/assignments/media-types/application/ce+cbor,application/ce+cbor,en
https://www.iana.org/assignments/media-types/application/CEA,application/CEA,en
https://www.iana.org/assignments/media-types/application/cea-2018+xml,application/cea-2018+xml,en
https://www.iana.org/assignments/media-types/application/cellml+xml,application/cellml+xml,en
https://www.iana.org/assignments/media-types/application/cfw,application/cfw,en
https://www.iana.org/assignments/media-types/application/cid,application/cid,en
https://www.iana.org/assignments/media-types/application/cid-edhoc+cbor-seq,application/cid-edhoc+cbor-seq,en
https://www.iana.org/assignments/media-types/application/city+json,application/city+json,en
https://www.iana.org/assignments/media-types/application/city+json-seq,application/city+json-seq,en
https://www.iana.org/assignments/media-types/application/clr,application/clr,en
https://www.iana.org/assignments/media-types/application/clue_info+xml,application/clue_info+xml,en
https://www.iana.org/assignments/media-types/application/clue+xml,application/clue+xml,en
https://www.iana.org/assignments/media-types/application/cms,application/cms,en
https://www.iana.org/assignments/media-types/application/cmw+cbor,application/cmw+cbor,en
https://www.iana.org/assignments/media-types/application/cmw+cose,application/cmw+cose,en
https://www.iana.org/assignments/media-types/application/cmw+json,application/cmw+json,en
https://www.iana.org/assignments/media-types/application/cmw+jws,application/cmw+jws,en
https://www.iana.org/assignments/media-types/application/cnrp+xml,application/cnrp+xml,en
https://www.iana.org/assignments/media-types/application/coap-eap,application/coap-eap,en
https://www.iana.org/assignments/media-types/application/coap-group+json,application/coap-group+json,en
https://www.iana.org/assignments/media-types/application/coap-payload,application/coap-payload,en
https://www.iana.org/assignments/media-types/application/commonground,application/commonground,en
https://www.iana.org/assignments/media-types/application/concise-problem-details+cbor,application/concise-problem-details+cbor,en
https://www.iana.org/assignments/media-types/application/conference-info+xml,application/conference-info+xml,en
https://www.iana.org/assignments/media-types/application/cpl+xml,application/cpl+xml,en
https://www.iana.org/assignments/media-types/application/cose,application/cose,en
https://www.iana.org/assignments/media-types/application/cose-key,application/cose-key,en
https://www.iana.org/assignments/media-types/application/cose-key-set,application/cose-key-set,en
https://www.iana.org/assignments/media-types/application/cose-x509,application/cose-x509,en
https://www.iana.org/assignments/media-types/application/csrattrs,application/csrattrs,en
https://www.iana.org/assignments/media-types/application/csta+xml,application/csta+xml,en
https://www.iana.org/assignments/media-types/application/CSTAdata+xml,application/CSTAdata+xml,en
https://www.iana.org/assignments/media-types/application/csvm+json,application/csvm+json,en
https://www.iana.org/assignments/media-types/application/cwl,application/cwl,en
https://www.iana.org/assignments/media-types/application/cwl+json,application/cwl+json,en
https://www.iana.org/assignments/media-types/application/cwl+yaml,application/cwl+yaml,en
https://www.iana.org/assignments/media-types/application/cwt,application/cwt,en
https://www.iana.org/assignments/media-types/application/cybercash,application/cybercash,en
https://www.iana.org/assignments/media-types/application/dash+xml,application/dash+xml,en
https://www.iana.org/assignments/media-types/application/dash-patch+xml,application/dash-patch+xml,en
https://www.iana.org/assignments/media-types/application/dashdelta,application/dashdelta,en
https://www.iana.org/assignments/media-types/application/davmount+xml,application/davmount+xml,en
https://www.iana.org/assignments/media-types/application/dca-rft,application/dca-rft,en
https://www.iana.org/assignments/media-types/application/DCD,application/DCD,en
https://www.iana.org/assignments/media-types/application/dec-dx,application/dec-dx,en
https://www.iana.org/assignments/media-types/application/dialog-info+xml,application/dialog-info+xml,en
https://www.iana.org/assignments/media-types/application/dicom,application/dicom,en
https://www.iana.org/assignments/media-types/application/dicom+json,application/dicom+json,en
https://www.iana.org/assignments/media-types/application/dicom+xml,application/dicom+xml,en
https://www.iana.org/assignments/media-types/application/did,application/did,en
https://www.iana.org/assignments/media-types/application/DII,application/DII,en
https://www.iana.org/assignments/media-types/application/DIT,application/DIT,en
https://www.iana.org/assignments/media-types/application/dns,application/dns,en
https://www.iana.org/assignments/media-types/application/dns+json,application/dns+json,en
https://www.iana.org/assignments/media-types/application/dns-message,application/dns-message,en
https://www.iana.org/assignments/media-types/application/dots+cbor,application/dots+cbor,en
https://www.iana.org/assignments/media-types/application/dpop+jwt,application/dpop+jwt,en
https://www.iana.org/assignments/media-types/application/dskpp+xml,application/dskpp+xml,en
https://www.iana.org/assignments/media-types/application/dssc+der,application/dssc+der,en
https://www.iana.org/assignments/media-types/application/dssc+xml,application/dssc+xml,en
https://www.iana.org/assignments/media-types/application/dvcs,application/dvcs,en
https://www.iana.org/assignments/media-types/application/eat+cwt,application/eat+cwt,en
https://www.iana.org/assignments/media-types/application/eat+jwt,application/eat+jwt,en
https://www.iana.org/assignments/media-types/application/eat-bun+cbor,application/eat-bun+cbor,en
https://www.iana.org/assignments/media-types/application/eat-bun+json,application/eat-bun+json,en
https://www.iana.org/assignments/media-types/application/eat-ucs+cbor,application/eat-ucs+cbor,en
https://www.iana.org/assignments/media-types/application/eat-ucs+json,application/eat-ucs+json,en
https://www.iana.org/assignments/media-types/application/ecmascript (OBSOLETED in favor of text/javascript),application/ecmascript,en
https://www.iana.org/assignments/media-types/application/edhoc+cbor-seq,application/edhoc+cbor-seq,en
https://www.iana.org/assignments/media-types/application/EDI-consent,application/EDI-consent,en
